Day,Time,Event,Notes
"Monday, Feb 23",5:30 PM,Tech Call,SM/Crew prep
"Monday, Feb 23",6:00 PM,Actors Call,
"Monday, Feb 23",6:45 PM,Runs Start,Muppet/Shirt/Robot combinations
"Monday, Feb 23",8:00 PM,Break,10 minutes (midway break)
"Monday, Feb 23",9:30 PM,Q2Q,Begins at 9:30 PM
"Monday, Feb 23",11:00 PM,Hard Out,End of day
"Tuesday, Feb 24",6:15 PM,Tech Call,
"Tuesday, Feb 24",6:30 PM,Open Stage,Actors can work on open stage until 7:00 PM
"Tuesday, Feb 24",6:45 PM,Actors Call,
"Tuesday, Feb 24",7:00 PM,Full Run,Run of 12 following show order
"Tuesday, Feb 24",8:30 PM,Break,10 minutes after run
"Tuesday, Feb 24",8:40 PM,Work Pieces,Continue work until hard out
"Tuesday, Feb 24",11:00 PM,Hard Out,End of day
"Wednesday, Feb 25",6:15 PM,Tech Call,Invited tech
"Wednesday, Feb 25",6:30 PM,Open Stage,Actors can work on open stage until 7:00 PM
"Wednesday, Feb 25",6:45 PM,Actors Call,Professors will be watching
"Wednesday, Feb 25",7:00 PM,Full Run,Run of 12 following show order
"Wednesday, Feb 25",8:30 PM,Break,10 minutes after run
"Wednesday, Feb 25",8:40 PM,Work Pieces,Continue work until hard out
"Wednesday, Feb 25",11:00 PM,Hard Out,End of day
"Thursday, Feb 26",6:15 PM,Tech Call,Recorded for research project
"Thursday, Feb 26",6:30 PM,Open Stage,Actors can work on open stage until 7:00 PM
"Thursday, Feb 26",6:45 PM,Actors Call,
"Thursday, Feb 26",7:00 PM,Full Run,Run of 12 following show order
"Thursday, Feb 26",8:30 PM,Break,10 minutes after run
"Thursday, Feb 26",8:40 PM,Work Pieces,Continue work until hard out
"Thursday, Feb 26",11:00 PM,Hard Out,End of day
"Friday, Feb 27",6:00 PM,SM/Crew Call,
"Friday, Feb 27",6:30 PM,Actors Call,
"Friday, Feb 27",7:00 PM,Show Time,
"Saturday, Feb 28",6:00 PM,SM/Crew Call,
"Saturday, Feb 28",6:30 PM,Actors Call,
"Saturday, Feb 28",7:00 PM,Show Time,
