Q,Name,Intensity Pallet,Color Pallet
001,General Preshow,,
002,General Blackout,,
101,Shirt Base,,
102,Shirt Bump,,
102.1,Shirt Bump Return,,
103,Shirt Believe,,
104,Shirt Servent Look,,
105,Shirt Red,,
106,Shirt Dim Blue,,
201,Muppet Base,,
202,Muppet Bump,,
202.1,Muppet Bump Return,,
203,Muppet Believe,,
204,Muppet Servent Look,,
205,Muppet Red,,
206,Muppet Dim Blue,,
301,Animatronic Base,,
302,Animatronic Bump,,
302.1,Animatronic Bump Return,,
303,Animatronic Believe,,
304,Animatronic Servent Look,,
305,Animatronic Red,,
306,Animatronic Dim Blue,,
401,Robot Base,,
402,Robot Bump,,
402.1,Robot Bump Return,,
403,Robot Believe,,
404,Robot Servent Look,,
405,Robot Red,,
406,Robot Dim Blue,,
511,Shirt+Muppet,,
512,Shirt+Muppet colored,,
513,half Shirt+Muppet,,
514,half Shirt+Muppet colored,,
521,Shirt+Animatronic,,
522,Shirt+Animatronic colored,,
523,half Shirt+Animatronic,,
524,half Shirt+Animatronic colored,,
531,Shirt+Robot,,
532,Shirt+Robot colored,,
533,half Shirt+Robot,,
534,half Shirt+Robot colored,,
611,Muppet+Shirt,,
612,Muppet+Shirt colored,,
613,half Muppet+Shirt,,
614,half Muppet+Shirt colored,,
621,Muppet+Animatronic,,
622,Muppet+Animatronic colored,,
623,half Muppet+Animatronic,,
624,half Muppet+Animatronic colored,,
631,Muppet+Robot,,
632,Muppet+Robot colored,,
633,half Muppet+Robot,,
634,half Muppet+Robot colored,,
711,Animatronic+Shirt,,
712,Animatronic+Shirt colored,,
713,half Animatronic+Shirt,,
714,half Animatronic+Shirt colored,,
721,Animatronic+Muppet,,
722,Animatronic+Muppet colored,,
723,half Animatronic+Muppet,,
724,half Animatronic+Muppet colored,,
731,Animatronic+Robot,,
732,Animatronic+Robot colored,,
733,half Animatronic+Robot,,
734,half Animatronic+Robot colored,,
811,Robot+Shirt,,
812,Robot+Shirt colored,,
813,half Robot+Shirt,,
814,half Robot+Shirt colored,,
821,Robot+Muppet,,
822,Robot+Muppet colored,,
823,half Robot+Muppet,,
824,half Robot+Muppet colored,,
831,Robot+Animatronic,,
832,Robot+Animatronic colored,,
833,half Robot+Animatronic,,
834,half Robot+Animatronic colored,,
