Q,Name,Look
1,Preshow,Preshow
10,Blackout,Blackout
20,Lights up on Domin,Domin Base
30,Humanity League,Domin Bump
40,Alquist Entrance,Alquist + Domin Base
50,Domain fade out,Alquist Base
60,Beliver,Believer Look (Alquist)
70,Light up on Domain,Alquist + Domin Base
80,After the revolt,Half Alquist + Domin Full
90,Read Handbill,Half Alquist + Domin Full Colored
100,It was a crime,Aluist Base + Domin Colored
110,Domin Exit,Alquist Base
120,Servant enters,Servent Look (Alquist)
130,If you knew,Alquist Red
140,Ready,Alquist Dim Blue
150,Normal,Alquist Base
160,Blackout,Blackout
